alias,canonical
P-32,P-32
P-33,P-33
P32,P-32
P33,P-33
Pa-230,Pa-230
Pa-231,Pa-231
Pa-233,Pa-233
Pa230,Pa-230
Pa231,Pa-231
Pa233,Pa-233
Pb-201,Pb-201
Pb-202,Pb-202
Pb-203,Pb-203
Pb-205,Pb-205
Pb201,Pb-201
Pb202,Pb-202
Pb203,Pb-203
Pb205,Pb-205
Pd-103,Pd-103
Pd-107,Pd-107
Pd-109,Pd-109
Pd103,Pd-103
Pd107,Pd-107
Pd109,Pd-109
Pm-143,Pm-143
Pm-144,Pm-144
Pm-145,Pm-145
Pm-147,Pm-147
Pm-148(m),Pm-148m
Pm-148M,Pm-148m
Pm-148m,Pm-148m
Pm-149,Pm-149
Pm-151,Pm-151
Pm143,Pm-143
Pm144,Pm-144
Pm145,Pm-145
Pm147,Pm-147
Pm148(m),Pm-148m
Pm148M,Pm-148m
Pm148m,Pm-148m
Pm149,Pm-149
Pm151,Pm-151
Po-210,Po-210
Po210,Po-210
Pr-142,Pr-142
Pr-143,Pr-143
Pr142,Pr-142
Pr143,Pr-143
Pt-188,Pt-188
Pt-191,Pt-191
Pt-193,Pt-193
Pt-193(m),Pt-193m
Pt-193M,Pt-193m
Pt-193m,Pt-193m
Pt-195(m),Pt-195m
Pt-195M,Pt-195m
Pt-195m,Pt-195m
Pt-197,Pt-197
Pt-197(m),Pt-197m
Pt-197M,Pt-197m
Pt-197m,Pt-197m
Pt188,Pt-188
Pt191,Pt-191
Pt193,Pt-193
Pt193(m),Pt-193m
Pt193M,Pt-193m
Pt193m,Pt-193m
Pt195(m),Pt-195m
Pt195M,Pt-195m
Pt195m,Pt-195m
Pt197,Pt-197
Pt197(m),Pt-197m
